Date,Number of tweets,Number of tweets with links,Number of tweets with hashtags,Number of tweets with mentions,Number of tweets with media uploads,Number of retweets,Number of replies
2021-01-04,739,52,739,713,406,673,24
2021-01-05,1926,194,1926,1795,991,1716,46
2021-01-07,1698,278,1698,1494,851,1329,124
2021-01-08,1820,141,1820,1644,1295,1429,161
2021-01-09,1798,219,1798,1639,1290,1444,117
2021-01-10,1771,129,1771,1623,1280,1525,46
2021-01-11,1918,107,1918,1767,1450,1613,98
2021-01-12,2080,354,2080,1885,1274,1670,142
2021-01-13,1635,240,1635,1369,870,1126,93
2021-01-14,1115,101,1115,862,501,745,40
