Date,"Number of tweets","Number of tweets with links","Number of tweets with hashtags","Number of tweets with mentions","Number of tweets with media uploads","Number of retweets","Number of replies"
2021-01-04,205,34,205,175,143,162,14
2021-01-05,695,186,695,604,400,551,25
2021-01-07,983,242,983,874,810,787,38
2021-01-08,893,239,893,786,708,717,26
2021-01-09,726,201,726,603,537,563,6
2021-01-10,1520,212,1520,1305,1072,1226,39
2021-01-11,1096,311,1096,905,739,810,35
2021-01-12,1915,212,1915,1623,1593,1521,54
2021-01-13,2044,952,2044,1815,1700,1715,38
2021-01-14,1223,217,1223,867,1009,801,29
