"","Var1","Freq"
"1","Adrits3",1
"2","Aizaguerra8",1
"3","Anajose65",1
"4","caribuausss",1
"5","Carmen84992661",1
"6","CaroGo_z",1
"7","charito_moyano",7
"8","CrisCastilloJ",1
"9","CristhianSaltos",1
"10","ElenaSifonte04",2
"11","ElisaFrndz123",1
"12","elvispresley907",1
"13","Fernand4_M0lin4",1
"14","Gabriel47__",1
"15","gecard4326",1
"16","GeovanniVeraB",2
"17","Ide77724060",1
"18","j4touma",1
"19","jessicago50",1
"20","jimenalauralope",1
"21","LucyKarina1974",1
"22","LuisEdu_Gonza",1
"23","MaraZam12",1
"24","MarBelenmencor",1
"25","MariaPrezm",1
"26","MarinaL_17",1
"27","martha_monik",1
"28","Miguel1Salazar2",1
"29","MnicaSan6",1
"30","Momokmpos",1
"31","nicolebonifaz",1
"32","OrtaSandrita",1
"33","Patriroz70",1
"34","Pedro_Cas2",1
"35","PluasValentina",1
"36","ramirosilva89",43
"37","RodriAndre4",1
"38","SoyGabrielaRol",1
"39","TeFyCastillo3",1
"40","totres_",1
"41","valenti_nita_1",1
"42","Vivi_moreno8",1
